DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Nash,North Carolina,1,35.9636,-77.977
Moore,North Carolina,1,35.2784,-79.4623
Montgomery,North Carolina,1,35.3237,-79.8985
Mecklenburg,North Carolina,1,35.2586,-80.831
Lincoln,North Carolina,1,35.485,-81.2181
Lee,North Carolina,1,35.4674,-79.1892
Johnston,North Carolina,1,35.5376,-78.3875
Iredell,North Carolina,1,35.7741,-80.9217
Harnett,North Carolina,1,35.3877,-78.839
Guilford,North Carolina,1,36.0738,-79.7901
Granville,North Carolina,1,36.2968,-78.6558
Gaston,North Carolina,1,35.2834,-81.1822
Franklin,North Carolina,1,36.0416,-78.3303
Forsyth,North Carolina,1,36.1176,-80.2522
Edgecombe,North Carolina,1,35.9136,-77.578
Durham,North Carolina,1,36.0511,-78.8681
Davie,North Carolina,1,35.9021,-80.5375
Davidson,North Carolina,1,35.7656,-80.2531
Columbus,North Carolina,1,34.215,-78.6198
Cleveland,North Carolina,1,35.3743,-81.5594
Chatham,North Carolina,1,35.678,-79.2599
Catawba,North Carolina,1,35.6888,-81.2042
Caswell,North Carolina,1,36.3928,-79.3352
Caldwell,North Carolina,1,35.9399,-81.5596
Cabarrus,North Carolina,1,35.3455,-80.5464
Burke,North Carolina,1,35.7795,-81.7535
Bladen,North Carolina,1,34.6121,-78.5716
Anson,North Carolina,1,35.0087,-80.0992
Alexander,North Carolina,1,35.9161,-81.181
Alamance,North Carolina,1,36.0473,-79.4006
Westchester,New York,1,41.1249,-73.7718
Ulster,New York,1,41.8791,-74.2028
Sullivan,New York,1,41.7194,-74.7908
Suffolk,New York,1,40.9086,-72.9176
Rockland,New York,1,41.1589,-74.0653
Richmond,New York,1,40.5726,-74.1446
Queens,New York,1,40.7043,-73.8196
Putnam,New York,1,41.4237,-73.7555
Orange,New York,1,41.3876,-74.3315
New York,New York,1,40.7882,-73.9605
Nassau,New York,1,40.7554,-73.573
Kings,New York,1,40.6553,-73.9391
Dutchess,New York,1,41.7622,-73.728
Delaware,New York,1,42.1831,-74.9537
Union,New Mexico,1,36.3704,-103.5249
Sandoval,New Mexico,1,35.7068,-106.7786
San Juan,New Mexico,1,36.5045,-108.3355
Roosevelt,New Mexico,1,34.0899,-103.4948
Rio Arriba,New Mexico,1,36.4672,-106.7823
Quay,New Mexico,1,35.1756,-103.5469
Harding,New Mexico,1,35.8052,-103.8729
Colfax,New Mexico,1,36.608,-104.6914
Warren,New Jersey,2,40.8438,-74.9606
Union,New Jersey,2,40.6656,-74.2739
Sussex,New Jersey,2,41.1285,-74.6997
Somerset,New Jersey,2,40.5669,-74.6246
Salem,New Jersey,2,39.5844,-75.3039
Passaic,New Jersey,2,41.0117,-74.308
Ocean,New Jersey,2,39.8409,-74.2864
Morris,New Jersey,2,40.8677,-74.5721
Monmouth,New Jersey,2,40.2791,-74.1884
Middlesex,New Jersey,2,40.4306,-74.4006
Mercer,New Jersey,2,40.2809,-74.6827
Hunterdon,New Jersey,2,40.5639,-74.9125
Hudson,New Jersey,2,40.7337,-74.0641
Gloucester,New Jersey,2,39.6999,-75.1442
Essex,New Jersey,2,40.7945,-74.2539
Cumberland,New Jersey,2,39.3728,-75.124
Cape May,New Jersey,2,39.1268,-74.8257
Camden,New Jersey,2,39.8025,-74.9898
Burlington,New Jersey,2,39.8671,-74.6832
Bergen,New Jersey,2,40.9485,-74.0323
Atlantic,New Jersey,2,39.5098,-74.6941
White Pine,Nevada,1,39.4098,-114.9774
Lander,Nevada,1,40.0429,-117.0563
Humboldt,Nevada,1,41.2611,-118.1618
Eureka,Nevada,1,40.0869,-116.2172
Elko,Nevada,1,41.0619,-115.5301
Keya Paha,Nebraska,1,42.8582,-99.7277
